expt	date	strain	objective	time_interval (min)	timepoints	time_subsampling	subsampled_time_interval (min)	subsampled_timepoints	z_slices	sixe (px)	binning	pixel_size (um)	z_step (um)	notes
mixin44	45308.0	NC105.1	10x	5.0	100.0	x3	15.0	34.0	32.0	256 x 256	2x2	2.41	2.0
mixin57	45351.0	NC28.1	10x	1.0	400.0	x10	10.0	40.0	16.0	256 x 256	2x2	2.41	2.0
mixin64	45385.0	NC28.1	10x	1.0	200.0	x10	10.0	20.0	48.0	256 x 256	1x1	1.28	7.28	downsampled x4 in the z dimension



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































